Class,F1 Score,IoU
Land,0.702140252009663,0.5409985578926289
Thick Cloud,0.8090432669121863,0.6793221318918666
Thin Cloud,0.0,0.0
Shadow,0.07997503918007577,0.041653124731213576
Overall Accuracy,0.6665402449570693,
Mean Entropy R,7.402288060942787,
Mean Entropy G,7.091247419453278,
Mean Entropy B,6.837801988344189,
