Class,F1 Score,IoU
Land,0.15789247343148635,0.0857129516894213
Thick Cloud,0.6162274049735209,0.4453241863499466
Thin Cloud,0.0,0.0
Shadow,0.3321855774092134,0.19917418443545748
Overall Accuracy,0.4701471111991189,
Mean Entropy R,9.0852543444883,
Mean Entropy G,8.874664367044304,
Mean Entropy B,8.704369776798652,
