img_name,total_objects,total_area
img_0.tif,82,177937
img_1.tif,38,34319
img_10.tif,9,4654
img_100.tif,123,314836
img_1000.tif,10,8583
img_1001.tif,7,269111
img_1002.tif,6,1924
img_1003.tif,15,29191
img_1004.tif,9,50891
img_1005.tif,10,328248
img_1006.tif,3,40352
img_1007.tif,28,33939
img_1008.tif,13,224155
img_1009.tif,17,222183
img_101.tif,5,7964
img_1010.tif,12,383745
img_1011.tif,0,0
img_1012.tif,5,2503
img_1013.tif,2,19265
img_1014.tif,19,48505
img_1015.tif,90,214307
img_1016.tif,57,117308
img_1017.tif,116,345508
img_1018.tif,1,371
img_1019.tif,35,115612
img_102.tif,117,551870
img_1020.tif,26,21107
img_1021.tif,43,30194
img_1022.tif,112,152183
img_1023.tif,70,214466
img_1024.tif,221,220778
img_1025.tif,85,229961
img_1026.tif,15,22916
img_1027.tif,33,63959
img_1028.tif,122,374881
img_1029.tif,69,171966
img_103.tif,110,308102
img_1030.tif,186,300925
img_1031.tif,6,4352
img_1032.tif,9,22572
img_1033.tif,30,20797
img_1034.tif,113,301077
img_1035.tif,10,6207
img_1036.tif,347,542534
img_1037.tif,236,464018
img_1038.tif,144,324508
img_1039.tif,70,49202
img_104.tif,13,4488
img_1040.tif,214,270918
img_1041.tif,592,533993
img_1042.tif,36,82274
img_1043.tif,254,121124
img_1044.tif,65,128074
img_1045.tif,34,50213
img_1046.tif,41,41637
img_1047.tif,124,155815
img_1048.tif,249,355008
img_1049.tif,153,407088
img_105.tif,17,342331
img_1050.tif,6,4210
img_1051.tif,30,17101
img_1052.tif,50,90406
img_1053.tif,251,443134
img_1054.tif,374,339952
img_1055.tif,71,174416
img_1056.tif,41,78707
img_1057.tif,239,441903
img_1058.tif,13,13953
img_1059.tif,399,296461
img_106.tif,14,329082
img_1060.tif,44,8988
img_1061.tif,346,191027
img_1062.tif,686,271791
img_1063.tif,359,117014
img_1064.tif,176,92399
img_1065.tif,94,375463
img_1066.tif,5,195
img_1067.tif,17,28285
img_1068.tif,42,78637
img_1069.tif,145,379058
img_107.tif,25,31067
img_1070.tif,190,74616
img_1071.tif,76,35207
img_1072.tif,34,26894
img_1073.tif,67,30845
img_1074.tif,324,234698
img_1075.tif,140,93290
img_1076.tif,235,421757
img_1077.tif,301,440091
img_1078.tif,2,305
img_1079.tif,105,132558
img_108.tif,6,2195
img_1080.tif,6,5413
img_1081.tif,70,23535
img_1082.tif,275,361935
img_1083.tif,239,70893
img_1084.tif,56,39342
img_1085.tif,12,267515
img_1086.tif,10,3321
img_1087.tif,10,258830
img_1088.tif,3,1176
img_1089.tif,31,10428
img_109.tif,17,255315
img_1090.tif,54,371737
img_1091.tif,22,4602
img_1092.tif,60,25888
img_1093.tif,29,382537
img_1094.tif,95,526539
img_1095.tif,177,334388
img_1096.tif,66,35115
img_1097.tif,68,36023
img_1098.tif,41,35345
img_1099.tif,35,16105
img_11.tif,150,149881
img_110.tif,4,1858
img_1100.tif,90,392885
img_1101.tif,26,215520
img_1102.tif,30,265273
img_1103.tif,16,8253
img_1104.tif,0,0
img_1105.tif,7,5384
img_1106.tif,1,65
img_1107.tif,1,206942
img_1108.tif,1,256822
img_1109.tif,0,0
img_111.tif,132,440073
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,50,28887
img_1113.tif,2,640
img_1114.tif,21,6981
img_1115.tif,39,282547
img_1116.tif,9,3689
img_1117.tif,5,533
img_1118.tif,10,7827
img_1119.tif,20,256324
img_112.tif,101,343262
img_1120.tif,33,285902
img_1121.tif,41,301689
img_1122.tif,25,18592
img_1123.tif,0,0
img_1124.tif,1,884
img_1125.tif,123,393230
img_1126.tif,94,339170
img_1127.tif,14,94118
img_1128.tif,36,27127
img_1129.tif,58,39166
img_113.tif,24,131494
img_1130.tif,28,62591
img_1131.tif,99,401438
img_1132.tif,23,95662
img_1133.tif,123,239817
img_1134.tif,35,32368
img_1135.tif,24,10879
img_1136.tif,7,2179
img_1137.tif,0,0
img_1138.tif,12,3900
img_1139.tif,18,263210
img_114.tif,23,125631
img_1140.tif,0,0
img_1141.tif,10,245817
img_1142.tif,29,172500
img_1143.tif,5,4533
