Class,F1 Score,IoU
Land,0.6873767575821619,0.5236664530760717
Thick Cloud,0.7538350807136017,0.6049240104955583
Thin Cloud,0.0,0.0
Shadow,0.33727848805937344,0.20284725111045362
Overall Accuracy,0.6530941213880267,
Mean Entropy R,7.417010540339893,
Mean Entropy G,7.094329711148718,
Mean Entropy B,6.843458221952433,
