Class,F1 Score,IoU
Land,0.7072015301273354,0.5470315340000301
Thick Cloud,0.7831581578017661,0.6435989712409831
Thin Cloud,0.0,0.0
Shadow,0.338331149319565,0.20360925053209136
Overall Accuracy,0.6766580358728186,
Mean Entropy R,7.618643667188645,
Mean Entropy G,7.298376533207005,
Mean Entropy B,7.0468254347984445,
