Class,F1 Score,IoU
Land,0.8112065324662596,0.6823780199172705
Thick Cloud,0.7998954869866188,0.6665215223448624
Thin Cloud,0.0,0.0
Shadow,0.2950284506652459,0.1730401019186274
Overall Accuracy,0.7290176106737806,
Mean Entropy R,7.955962632360864,
Mean Entropy G,7.662202608166902,
Mean Entropy B,7.4196085207046,
