img_name,total_objects,total_area
img_0.tif,78,45099
img_1.tif,16,268034
img_10.tif,14,1107
img_100.tif,155,398462
img_1000.tif,35,15955
img_1001.tif,6,259513
img_1002.tif,9,520
img_1003.tif,54,74488
img_1004.tif,19,241051
img_1005.tif,10,328248
img_1006.tif,26,56546
img_1007.tif,80,39544
img_1008.tif,59,48015
img_1009.tif,24,208355
img_101.tif,102,56199
img_1010.tif,12,383745
img_1011.tif,3,76
img_1012.tif,7,2665
img_1013.tif,2,19309
img_1014.tif,28,52678
img_1015.tif,100,232669
img_1016.tif,92,115239
img_1017.tif,116,345508
img_1018.tif,4,1435
img_1019.tif,40,123361
img_102.tif,367,85020
img_1020.tif,26,20274
img_1021.tif,59,138975
img_1022.tif,123,148921
img_1023.tif,90,316642
img_1024.tif,221,220778
img_1025.tif,88,290731
img_1026.tif,19,20958
img_1027.tif,57,71974
img_1028.tif,122,374881
img_1029.tif,69,171876
img_103.tif,184,117665
img_1030.tif,186,300925
img_1031.tif,0,0
img_1032.tif,69,27728
img_1033.tif,14,6359
img_1034.tif,136,200672
img_1035.tif,8,3932
img_1036.tif,354,545957
img_1037.tif,242,431562
img_1038.tif,47,21310
img_1039.tif,26,2614
img_104.tif,111,54195
img_1040.tif,258,89586
img_1041.tif,574,521644
img_1042.tif,93,34997
img_1043.tif,226,84867
img_1044.tif,109,120204
img_1045.tif,69,57894
img_1046.tif,55,23751
img_1047.tif,175,363486
img_1048.tif,249,355008
img_1049.tif,164,391201
img_105.tif,21,343224
img_1050.tif,0,0
img_1051.tif,39,4749
img_1052.tif,63,47821
img_1053.tif,272,449787
img_1054.tif,376,338835
img_1055.tif,96,101584
img_1056.tif,80,30289
img_1057.tif,242,427612
img_1058.tif,27,8054
img_1059.tif,399,296461
img_106.tif,23,259996
img_1060.tif,114,38536
img_1061.tif,121,54006
img_1062.tif,581,483006
img_1063.tif,261,69241
img_1064.tif,145,59396
img_1065.tif,93,376279
img_1066.tif,18,3010
img_1067.tif,18,15209
img_1068.tif,37,59639
img_1069.tif,141,371111
img_107.tif,29,29302
img_1070.tif,229,84979
img_1071.tif,100,63413
img_1072.tif,64,32681
img_1073.tif,0,0
img_1074.tif,352,207988
img_1075.tif,234,131353
img_1076.tif,254,432332
img_1077.tif,301,440091
img_1078.tif,7,402
img_1079.tif,171,140777
img_108.tif,35,3341
img_1080.tif,0,0
img_1081.tif,73,55368
img_1082.tif,275,361935
img_1083.tif,247,68995
img_1084.tif,69,38863
img_1085.tif,12,267515
img_1086.tif,0,0
img_1087.tif,10,258830
img_1088.tif,18,61476
img_1089.tif,48,17437
img_109.tif,21,259526
img_1090.tif,54,371737
img_1091.tif,35,5336
img_1092.tif,74,26879
img_1093.tif,1,258245
img_1094.tif,107,380297
img_1095.tif,177,334388
img_1096.tif,76,38502
img_1097.tif,75,38133
img_1098.tif,54,38427
img_1099.tif,6,447
img_11.tif,43,84279
img_110.tif,12,1766
img_1100.tif,90,392885
img_1101.tif,26,212675
img_1102.tif,33,281280
img_1103.tif,17,8302
img_1104.tif,1,16
img_1105.tif,12,5872
img_1106.tif,33,6891
img_1107.tif,6,205636
img_1108.tif,1,256822
img_1109.tif,1,9
img_111.tif,192,103780
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,51,268517
img_1113.tif,0,0
img_1114.tif,5,1621
img_1115.tif,39,282547
img_1116.tif,47,5527
img_1117.tif,16,13629
img_1118.tif,46,37523
img_1119.tif,29,252173
img_112.tif,147,324793
img_1120.tif,33,284975
img_1121.tif,41,301689
img_1122.tif,27,18754
img_1123.tif,1,20
img_1124.tif,5,473
img_1125.tif,123,393230
img_1126.tif,101,302898
img_1127.tif,20,53819
img_1128.tif,33,12426
img_1129.tif,86,60908
img_113.tif,11,3439
img_1130.tif,37,81989
img_1131.tif,127,132502
img_1132.tif,96,61197
img_1133.tif,124,249419
img_1134.tif,39,31601
img_1135.tif,24,10882
img_1136.tif,11,3606
img_1137.tif,0,0
img_1138.tif,12,3850
img_1139.tif,18,263210
img_114.tif,16,3695
img_1140.tif,0,0
img_1141.tif,10,260651
img_1142.tif,85,26086
img_1143.tif,6,4564
img_1144.tif,19,313648
img_1145.tif,82,33565
img_1146.tif,48,21796
img_1147.tif,38,22000
img_1148.tif,120,279663
img_1149.tif,90,244517
img_115.tif,12,285728
img_1150.tif,364,325511
img_1151.tif,2,85
img_1152.tif,6,5729
img_1153.tif,36,26260
img_1154.tif,349,395464
img_1155.tif,181,303752
img_1156.tif,172,352611
img_1157.tif,25,13237
img_1158.tif,10,1397
img_1159.tif,49,9003
img_116.tif,58,97616
img_1160.tif,111,290301
img_1161.tif,243,51876
img_1162.tif,38,5906
img_1163.tif,112,21366
img_1164.tif,4,583
img_1165.tif,311,349308
img_1166.tif,70,11031
img_1167.tif,59,57367
img_1168.tif,62,18938
img_1169.tif,195,74127
img_117.tif,56,124911
img_1170.tif,76,24548
img_1171.tif,114,372746
img_1172.tif,35,34586
img_1173.tif,104,134893
img_1174.tif,304,365829
img_1175.tif,66,81139
img_1176.tif,75,61946
img_1177.tif,108,427856
img_1178.tif,29,278572
img_1179.tif,45,17837
img_118.tif,0,0
img_1180.tif,276,425066
img_1181.tif,236,113134
img_1182.tif,0,0
img_1183.tif,219,351932
img_1184.tif,49,33866
img_1185.tif,405,404179
img_1186.tif,351,396247
img_1187.tif,227,89356
img_1188.tif,75,17327
img_1189.tif,65,20732
img_119.tif,8,1709
img_1190.tif,0,0
img_1191.tif,9,261553
img_1192.tif,5,2390
img_1193.tif,0,0
img_1194.tif,4,256717
img_1195.tif,20,517916
img_1196.tif,1,69
img_1197.tif,6,2538
img_1198.tif,6,8276
img_1199.tif,38,267401
img_12.tif,148,398740
img_120.tif,11,340254
img_1200.tif,29,224713
img_1201.tif,50,363199
img_1202.tif,9,5919
img_1203.tif,26,308403
img_1204.tif,93,36331
img_1205.tif,85,370629
img_1206.tif,164,431999
img_1207.tif,81,164906
img_1208.tif,96,34816
img_1209.tif,0,0
img_121.tif,5,341696
img_1210.tif,107,349849
img_1211.tif,103,130685
img_1212.tif,126,438228
img_1213.tif,104,75517
img_1214.tif,9,8374
img_1215.tif,11,335880
img_1216.tif,9,766
img_1217.tif,1,31
img_1218.tif,5,1296
img_1219.tif,15,29291
img_122.tif,26,83971
img_1220.tif,107,379786
img_1221.tif,95,105523
img_1222.tif,2,1912
img_1223.tif,116,116034
img_1224.tif,154,56707
img_1225.tif,17,44931
img_1226.tif,66,13259
img_1227.tif,33,288127
img_1228.tif,29,269095
img_1229.tif,118,153158
img_123.tif,45,9900
img_1230.tif,85,334743
img_1231.tif,64,81469
img_1232.tif,13,5500
img_1233.tif,29,4143
img_1234.tif,113,34281
img_1235.tif,82,353764
img_1236.tif,234,306214
img_1237.tif,140,46925
img_1238.tif,119,64871
img_1239.tif,8,537
img_124.tif,0,0
img_1240.tif,340,139068
img_1241.tif,58,35564
img_1242.tif,81,283968
img_1243.tif,55,17089
img_1244.tif,45,43366
img_1245.tif,9,282958
img_1246.tif,10,55117
img_1247.tif,3,39
img_1248.tif,9,296
img_1249.tif,8,167570
img_125.tif,69,358857
img_1250.tif,90,88835
img_1251.tif,64,386498
img_1252.tif,13,5580
img_1253.tif,36,119830
img_1254.tif,43,520507
img_1255.tif,142,152326
img_1256.tif,0,0
img_1257.tif,131,166432
img_1258.tif,143,101838
img_1259.tif,97,188936
img_126.tif,48,99519
img_1260.tif,130,250509
img_1261.tif,50,303687
img_1262.tif,157,44535
img_1263.tif,339,360034
img_1264.tif,55,25090
img_1265.tif,30,299952
img_1266.tif,60,200320
img_1267.tif,21,5757
img_1268.tif,103,19197
img_1269.tif,85,322782
img_127.tif,10,316788
img_1270.tif,114,274890
img_1271.tif,6,5808
img_1272.tif,223,587426
img_1273.tif,214,471235
img_1274.tif,43,11609
img_1275.tif,108,72513
img_1276.tif,388,528503
img_1277.tif,134,66444
img_1278.tif,4,1330
img_1279.tif,189,108388
img_128.tif,42,136740
img_1280.tif,277,415763
img_1281.tif,129,48152
img_1282.tif,12,5715
img_1283.tif,282,104331
img_1284.tif,353,410318
img_1285.tif,12,266326
img_1286.tif,3,1593
img_1287.tif,0,0
img_1288.tif,0,0
img_1289.tif,5,195513
img_129.tif,48,50448
img_1290.tif,13,518244
img_1291.tif,32,3104
img_1292.tif,26,1999
img_1293.tif,40,16744
img_1294.tif,10,95697
img_1295.tif,9,262569
img_1296.tif,29,259192
img_1297.tif,7,3343
img_1298.tif,92,66575
img_1299.tif,3,4172
img_13.tif,26,75833
img_130.tif,136,290433
img_1300.tif,10,719081
img_1301.tif,3,153
img_1302.tif,8,511153
img_1303.tif,5,65123
img_1304.tif,5,125743
img_1305.tif,36,620598
img_1306.tif,23,124964
img_1307.tif,11,77668
img_1308.tif,33,585104
img_1309.tif,68,27204
img_131.tif,111,74036
img_1310.tif,20,346682
img_1311.tif,84,12935
img_1312.tif,9,586799
img_1313.tif,0,0
img_1314.tif,0,0
img_1315.tif,9,692108
img_1316.tif,0,0
img_1317.tif,4,1862
img_1318.tif,0,0
img_1319.tif,10,447126
img_132.tif,75,75440
img_1320.tif,0,0
img_1321.tif,59,530218
img_1322.tif,39,78534
img_1323.tif,28,86870
img_1324.tif,18,57561
img_1325.tif,73,37193
img_1326.tif,78,32366
img_1327.tif,28,3409
img_1328.tif,204,453920
img_1329.tif,54,204339
img_133.tif,89,153108
img_1330.tif,23,6054
img_1331.tif,36,247845
img_1332.tif,10,273760
img_1333.tif,2,292
img_1334.tif,16,262038
img_1335.tif,72,99648
img_1336.tif,7,944
img_1337.tif,52,212125
img_1338.tif,106,298567
img_1339.tif,102,308532
img_134.tif,24,4820
img_1340.tif,6,447
img_1341.tif,20,160982
img_1342.tif,28,383197
img_1343.tif,26,273386
img_1344.tif,5,1881
img_1345.tif,30,20102
img_1346.tif,19,356991
img_1347.tif,11,1830
img_1348.tif,1,55
img_1349.tif,4,377779
img_135.tif,14,356220
img_1350.tif,21,302786
img_1351.tif,9,1303
img_1352.tif,53,288043
img_1353.tif,46,299069
img_1354.tif,19,5821
img_1355.tif,21,309537
