Class,F1 Score,IoU
Land,0.5990660884209077,0.4276190928561774
Thick Cloud,0.569466444468704,0.3980797530171921
Thin Cloud,0.0,0.0
Shadow,0.0008633157823997352,0.00043184430019981853
Overall Accuracy,0.5220489285208962,
Mean Entropy R,6.871651262072826,
Mean Entropy G,6.5384496404843535,
Mean Entropy B,6.292361358491174,
