img_name,total_objects,total_area
img_0.tif,13,15840
img_1.tif,14,27184
img_10.tif,1,149
img_100.tif,136,421757
img_1000.tif,8,9750
img_1001.tif,6,267030
img_1002.tif,1,2
img_1003.tif,9,63979
img_1004.tif,8,222668
img_1005.tif,10,328248
img_1006.tif,4,49858
img_1007.tif,22,182107
img_1008.tif,7,45433
img_1009.tif,16,18606
img_101.tif,5,2330
img_1010.tif,12,383745
img_1011.tif,0,0
img_1012.tif,5,3253
img_1013.tif,2,19285
img_1014.tif,21,29674
img_1015.tif,88,213014
img_1016.tif,54,127684
img_1017.tif,116,345508
img_1018.tif,1,376
img_1019.tif,39,127603
img_102.tif,117,551870
img_1020.tif,36,42276
img_1021.tif,51,33745
img_1022.tif,120,191877
img_1023.tif,62,154025
img_1024.tif,221,220778
img_1025.tif,85,227781
img_1026.tif,14,21237
img_1027.tif,35,67018
img_1028.tif,122,374881
img_1029.tif,69,171966
img_103.tif,107,639186
img_1030.tif,186,300925
img_1031.tif,3,1170
img_1032.tif,9,8378
img_1033.tif,37,29098
img_1034.tif,114,96384
img_1035.tif,22,11602
img_1036.tif,347,542534
img_1037.tif,249,471232
img_1038.tif,159,312035
img_1039.tif,76,47985
img_104.tif,28,18875
img_1040.tif,224,286886
img_1041.tif,592,533993
img_1042.tif,52,46007
img_1043.tif,269,121890
img_1044.tif,59,139075
img_1045.tif,13,36357
img_1046.tif,53,50975
img_1047.tif,138,155008
img_1048.tif,249,355008
img_1049.tif,161,434667
img_105.tif,17,342331
img_1050.tif,0,0
img_1051.tif,37,23470
img_1052.tif,51,53758
img_1053.tif,275,467332
img_1054.tif,374,339952
img_1055.tif,68,59555
img_1056.tif,49,61135
img_1057.tif,244,203582
img_1058.tif,8,2337
img_1059.tif,399,296461
img_106.tif,49,387618
img_1060.tif,59,12256
img_1061.tif,251,80517
img_1062.tif,686,271791
img_1063.tif,364,121707
img_1064.tif,197,102537
img_1065.tif,95,399608
img_1066.tif,3,63
img_1067.tif,18,24511
img_1068.tif,42,78638
img_1069.tif,145,379058
img_107.tif,28,41772
img_1070.tif,197,82123
img_1071.tif,110,109610
img_1072.tif,29,11056
img_1073.tif,59,15515
img_1074.tif,324,234698
img_1075.tif,140,93290
img_1076.tif,247,426187
img_1077.tif,301,440091
img_1078.tif,6,1470
img_1079.tif,101,247137
img_108.tif,6,2170
img_1080.tif,21,4249
img_1081.tif,82,38807
img_1082.tif,275,361935
img_1083.tif,236,69061
img_1084.tif,72,42834
img_1085.tif,12,267515
img_1086.tif,0,0
img_1087.tif,10,258830
img_1088.tif,0,0
img_1089.tif,40,15996
img_109.tif,16,37685
img_1090.tif,54,371737
img_1091.tif,23,4834
img_1092.tif,84,39932
img_1093.tif,1,257578
img_1094.tif,99,533727
img_1095.tif,177,334388
img_1096.tif,70,38130
img_1097.tif,71,39247
img_1098.tif,41,35413
img_1099.tif,55,16775
img_11.tif,40,54391
img_110.tif,1,20
img_1100.tif,90,392885
img_1101.tif,20,17639
img_1102.tif,34,289941
img_1103.tif,19,56893
img_1104.tif,1,661
img_1105.tif,8,5871
img_1106.tif,0,0
img_1107.tif,1,2
img_1108.tif,1,256822
img_1109.tif,1,160
img_111.tif,157,392282
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,50,28484
img_1113.tif,2,164
img_1114.tif,13,75398
img_1115.tif,39,282547
img_1116.tif,9,4958
img_1117.tif,2,146
img_1118.tif,7,17
img_1119.tif,22,34658
img_112.tif,101,343228
img_1120.tif,34,286376
img_1121.tif,41,301689
img_1122.tif,31,21465
img_1123.tif,2,4
img_1124.tif,5,12
img_1125.tif,123,393230
img_1126.tif,96,330921
img_1127.tif,14,21178
img_1128.tif,8,307
img_1129.tif,64,46445
img_113.tif,24,13662
img_1130.tif,9,12679
img_1131.tif,106,395612
img_1132.tif,4,3764
img_1133.tif,123,239817
img_1134.tif,36,32876
img_1135.tif,24,10882
img_1136.tif,12,4245
img_1137.tif,0,0
img_1138.tif,12,3857
img_1139.tif,18,263210
img_114.tif,27,14333
img_1140.tif,3,508
img_1141.tif,12,17775
img_1142.tif,17,8523
img_1143.tif,5,4614
img_1144.tif,19,313648
img_1145.tif,82,32859
img_1146.tif,38,19246
img_1147.tif,5,1262
img_1148.tif,102,307756
img_1149.tif,83,26491
img_115.tif,12,285728
img_1150.tif,151,334627
img_1151.tif,2,1553
img_1152.tif,5,8109
img_1153.tif,37,16433
img_1154.tif,162,341357
img_1155.tif,166,312069
img_1156.tif,159,331121
img_1157.tif,48,148259
img_1158.tif,7,1168
img_1159.tif,66,27160
img_116.tif,6,2913
img_1160.tif,46,274616
img_1161.tif,47,270101
img_1162.tif,1,76
img_1163.tif,31,25432
img_1164.tif,4,2146
img_1165.tif,21,292550
img_1166.tif,6,9878
img_1167.tif,14,16211
img_1168.tif,18,11360
img_1169.tif,28,144427
img_117.tif,3,965
img_1170.tif,66,156435
img_1171.tif,90,324348
img_1172.tif,25,32737
img_1173.tif,10,2232
img_1174.tif,145,112221
img_1175.tif,47,116669
img_1176.tif,21,61846
img_1177.tif,106,427567
img_1178.tif,29,280122
img_1179.tif,25,21138
img_118.tif,3,379
img_1180.tif,271,426368
img_1181.tif,188,100602
img_1182.tif,0,0
img_1183.tif,233,375740
img_1184.tif,45,40283
img_1185.tif,405,413989
img_1186.tif,348,412776
img_1187.tif,239,93341
img_1188.tif,11,6476
img_1189.tif,27,12151
img_119.tif,8,1731
img_1190.tif,5,992
img_1191.tif,9,262042
img_1192.tif,6,2601
img_1193.tif,0,0
img_1194.tif,4,256717
img_1195.tif,19,517933
img_1196.tif,0,0
img_1197.tif,6,2530
img_1198.tif,10,9020
img_1199.tif,40,34106
img_12.tif,32,402643
img_120.tif,11,340254
img_1200.tif,17,20158
img_1201.tif,50,363199
img_1202.tif,5,8110
img_1203.tif,25,64294
img_1204.tif,32,18311
img_1205.tif,83,359846
img_1206.tif,68,539763
img_1207.tif,46,134399
img_1208.tif,2,604
img_1209.tif,31,8768
img_121.tif,5,341693
img_1210.tif,95,106769
img_1211.tif,79,113992
img_1212.tif,126,438228
img_1213.tif,62,84699
img_1214.tif,0,0
img_1215.tif,11,335880
img_1216.tif,1,999
img_1217.tif,4,6054
img_1218.tif,2,1191
img_1219.tif,12,30036
img_122.tif,3,6237
img_1220.tif,99,378566
img_1221.tif,40,51571
img_1222.tif,7,5166
img_1223.tif,62,137910
img_1224.tif,38,42873
img_1225.tif,5,1016
img_1226.tif,4,2042
img_1227.tif,35,315782
img_1228.tif,16,274414
img_1229.tif,20,11738
img_123.tif,2,440
img_1230.tif,85,334743
img_1231.tif,7,6386
img_1232.tif,19,9972
img_1233.tif,6,3998
img_1234.tif,76,55798
img_1235.tif,78,367056
img_1236.tif,47,324241
img_1237.tif,21,20187
img_1238.tif,5,866
img_1239.tif,4,8
img_124.tif,1,1
img_1240.tif,202,134006
img_1241.tif,25,25870
img_1242.tif,73,309591
img_1243.tif,1,3
img_1244.tif,32,36651
img_1245.tif,9,282958
