img_name,total_objects,total_area
img_0.tif,29,34235
img_1.tif,35,24640
img_10.tif,10,5771
img_100.tif,122,312980
img_1000.tif,9,11934
img_1001.tif,7,269111
img_1002.tif,3,2158
img_1003.tif,8,34410
img_1004.tif,8,11928
img_1005.tif,10,328248
img_1006.tif,3,46688
img_1007.tif,15,32262
img_1008.tif,8,37169
img_1009.tif,14,17551
img_101.tif,2,2834
img_1010.tif,12,383745
img_1011.tif,0,0
img_1012.tif,2,1690
img_1013.tif,2,19284
img_1014.tif,22,37794
img_1015.tif,87,209668
img_1016.tif,52,117577
img_1017.tif,116,345508
img_1018.tif,2,1353
img_1019.tif,37,122133
img_102.tif,117,551870
img_1020.tif,22,21562
img_1021.tif,43,29558
img_1022.tif,110,142210
img_1023.tif,65,225095
img_1024.tif,221,220778
img_1025.tif,86,248395
img_1026.tif,14,23032
img_1027.tif,37,71184
img_1028.tif,122,374881
img_1029.tif,69,171966
img_103.tif,110,308102
img_1030.tif,186,300925
img_1031.tif,0,0
img_1032.tif,7,7290
img_1033.tif,35,27997
img_1034.tif,114,88635
img_1035.tif,10,6106
img_1036.tif,347,542534
img_1037.tif,244,465835
img_1038.tif,136,296601
img_1039.tif,71,46776
img_104.tif,22,21725
img_1040.tif,213,279729
img_1041.tif,592,533993
img_1042.tif,32,118560
img_1043.tif,269,126606
img_1044.tif,51,129457
img_1045.tif,25,58967
img_1046.tif,40,52483
img_1047.tif,121,151006
img_1048.tif,249,355008
img_1049.tif,153,442282
img_105.tif,17,342331
img_1050.tif,5,2215
img_1051.tif,36,20764
img_1052.tif,49,41427
img_1053.tif,273,465136
img_1054.tif,374,339952
img_1055.tif,58,192110
img_1056.tif,32,27458
img_1057.tif,245,460589
img_1058.tif,7,4959
img_1059.tif,399,296461
img_106.tif,14,329082
img_1060.tif,50,10227
img_1061.tif,351,192852
img_1062.tif,686,271791
img_1063.tif,365,126568
img_1064.tif,201,105160
img_1065.tif,98,390539
img_1066.tif,1,45
img_1067.tif,20,43038
img_1068.tif,42,78637
img_1069.tif,145,379058
img_107.tif,27,32491
img_1070.tif,192,79217
img_1071.tif,74,37045
img_1072.tif,24,35739
img_1073.tif,67,30845
img_1074.tif,324,234698
img_1075.tif,140,93290
img_1076.tif,242,423547
img_1077.tif,301,440091
img_1078.tif,2,312
img_1079.tif,93,77350
img_108.tif,6,2189
img_1080.tif,6,1491
img_1081.tif,69,26409
img_1082.tif,275,361935
img_1083.tif,238,68688
img_1084.tif,70,39442
img_1085.tif,12,267515
img_1086.tif,3,1893
img_1087.tif,10,258830
img_1088.tif,0,0
img_1089.tif,35,13119
img_109.tif,13,260017
img_1090.tif,54,371737
img_1091.tif,22,4617
img_1092.tif,67,27445
img_1093.tif,29,382537
img_1094.tif,97,528944
img_1095.tif,177,334388
img_1096.tif,71,38751
img_1097.tif,70,36651
img_1098.tif,41,35345
img_1099.tif,35,16105
img_11.tif,113,116084
img_110.tif,3,2125
img_1100.tif,90,392885
img_1101.tif,22,187900
img_1102.tif,29,267368
img_1103.tif,17,8343
img_1104.tif,1,642
img_1105.tif,9,6160
img_1106.tif,0,0
img_1107.tif,1,2
img_1108.tif,1,256822
img_1109.tif,0,0
img_111.tif,132,440073
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,51,28931
img_1113.tif,2,640
img_1114.tif,20,7750
img_1115.tif,39,282547
img_1116.tif,3,2284
img_1117.tif,5,510
img_1118.tif,4,2175
img_1119.tif,20,263251
img_112.tif,106,350450
img_1120.tif,34,286376
img_1121.tif,41,301689
img_1122.tif,29,20060
img_1123.tif,0,0
img_1124.tif,0,0
img_1125.tif,123,393230
