name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,cloud_percentage
img_1.tif,8.152757578754791,7.748486918131079,7.3667178197831715,44,41459,15.14
img_10.tif,8.49998036539631,8.271645459892628,8.205407484538862,3,440,43.64
img_1000.tif,8.552266797495488,8.182454036893029,7.8626736801189,13,11103,14.38
img_1003.tif,9.712341944949944,9.416096095382729,9.207639039193708,34,44287,39.83
img_1004.tif,9.397921461446336,9.030328078465452,8.773413510466353,21,40940,18.32
img_1006.tif,10.00893341780381,9.860906943907338,9.875966896446023,4,1441,79.92
img_1007.tif,10.319753769366477,9.99306246804255,9.873288258406262,28,30313,51.93
img_1008.tif,9.567298641000283,9.142011882135558,8.913921316293292,31,35888,32.76
img_1009.tif,9.35085478734521,8.921209975716968,8.672904131609073,47,54869,24.92
img_101.tif,8.428343631943942,8.188436098366523,8.088523860886255,37,11622,41.4
img_1011.tif,7.993902350785449,7.728476635517273,7.667562365596103,2,438,14.25
img_1012.tif,9.849181046990308,9.543301607031978,9.424718204113317,22,12901,55.31
img_1014.tif,9.106215178889348,8.731943797226648,8.39787463935053,35,45530,28.93
img_1015.tif,8.608061820304071,7.787574079569628,7.470659081324715,96,221242,13.67
img_1016.tif,8.600411210933652,8.143313782880911,7.88479825349881,67,148030,29.23
img_1018.tif,8.87978878541218,8.751880243514451,8.790338278145477,5,4445,62.55
img_1019.tif,9.138719507737784,8.82181515431583,8.542393255450477,66,145697,39.85
img_1020.tif,9.075822101487038,8.877384314283656,8.865011492463681,37,35636,15.35
img_1021.tif,8.675566190590285,8.582314174368008,8.335506363796378,84,56320,51.43
img_1022.tif,8.680783716618436,8.57252015989314,8.176606211273649,173,175407,21.61
img_1023.tif,8.695476827573495,8.729008535808921,8.219927204971798,168,221217,25.94
img_1026.tif,8.687135070598751,8.405377358054691,8.285522707079876,15,21727,47.91
img_1027.tif,9.31277306441925,9.144796684418507,8.909304163139849,58,91489,49.61
img_1031.tif,10.616270086576913,10.41426135548258,10.376546618834851,2,2395,89.54
img_1032.tif,10.06129024193311,9.834079263084543,9.64815094002864,17,9925,62.89
img_1033.tif,10.969727854772431,10.73662273863816,10.736739908220422,41,28420,84.53
img_1034.tif,8.726044022133012,8.528408492220489,8.213947518139504,157,151463,21.74
img_1037.tif,8.421551757306204,7.954043568759197,7.449688489748402,368,265039,10.98
img_1038.tif,9.422224217990207,8.880068031656947,8.541257408205242,269,187391,25.56
img_1039.tif,10.312690589255745,10.118955161501868,9.913429336238686,152,96099,52.31
img_104.tif,8.911960559463328,8.660599224625443,8.540192055792536,75,14895,44.22
img_1040.tif,9.752959308941012,9.246156302127297,8.947857360839858,370,158817,28.18
img_1042.tif,10.194396204003407,9.938814081097815,9.793959862958094,151,82789,54.23
img_1044.tif,9.87250843860919,9.755140186373668,9.571301915105169,177,66616,54.49
img_1045.tif,10.860610647090434,10.605653628001363,10.529458388214474,30,23363,71.61
img_1046.tif,10.360797201948197,9.964762471260013,9.745339847001034,95,95664,54.12
img_1047.tif,9.553609667981776,9.045751508926678,8.655884680229585,174,201896,26.63
img_1049.tif,8.553336094458343,8.336432767619009,7.768127745049521,224,260589,17.21
img_1050.tif,10.17397099946668,9.992219936488215,9.97627618629121,2,379,88.34
img_1051.tif,9.827435311852714,9.72234682001576,9.543972410986884,78,54570,64.13
img_1052.tif,9.961088149370402,9.651088315458717,9.451427746979054,148,100982,49.3
img_1055.tif,9.31531107048734,9.17821652765461,8.814881556048658,162,113650,40.68
img_1056.tif,9.73832464865848,9.567718306395474,9.32128276029204,99,76718,47.12
img_1057.tif,8.141661866184053,7.835969515240847,7.252692058472228,409,283803,11.33
img_1058.tif,11.240769191405583,11.056928942505976,11.01794632358366,11,4824,85.99
img_1060.tif,8.051329743754602,7.797522923825308,7.740152771085411,127,36263,56.3
img_1063.tif,9.120948138110698,8.712102190946766,8.491007862961224,503,157539,16.92
img_1064.tif,9.252232839647174,8.869026637168224,8.773444834971034,281,168511,42.18
img_1065.tif,7.883010251489067,7.396704274545322,7.033184559384559,154,455585,10.07
img_1066.tif,10.706621413391856,10.490244354210128,10.429116231443384,8,5594,81.72
img_1067.tif,8.751132685524103,8.361926477970556,8.352317121007575,36,50852,60.81
img_107.tif,8.65533306324312,8.297710129025202,7.970267384870068,86,52339,21.7
img_1070.tif,8.504835647926141,8.036606549065619,7.631146325992756,317,115206,20.73
img_1071.tif,8.987208958600537,8.557023008519732,8.157183594417749,235,122813,30.06
img_1072.tif,10.173407275246497,9.932095230469027,9.797751209355445,72,58524,54.03
img_1078.tif,9.353966058784875,9.162507172727274,9.203230985992352,23,11284,64.54
img_1079.tif,9.598103948671808,9.521094625315309,9.168873139390609,198,140142,34.69
img_1080.tif,8.064610368109305,7.848891184091196,7.780186708719103,8,1288,37.84
