Class,F1 Score,IoU
Land,0.6996630704483047,0.5380629085797947
Thick Cloud,0.7731992854274757,0.6302566311243919
Thin Cloud,0.0,0.0
Shadow,0.33880282911667986,0.2039510029604287
Overall Accuracy,0.6680301381396009,
Mean Entropy R,7.526393517379891,
Mean Entropy G,7.203501570382258,
Mean Entropy B,6.951903441753487,
