Class,F1 Score,IoU
Land,0.665913419834791,0.4991530757713839
Thick Cloud,0.7106132805052692,0.5511250191748025
Thin Cloud,0.0,0.0
Shadow,0.3374835868207461,0.20299564211541915
Overall Accuracy,0.6253387618374515,
Mean Entropy R,6.945087382209474,
Mean Entropy G,6.850343322038391,
Mean Entropy B,6.785520103338699,
