Class,F1 Score,IoU
Land,0.6498228269837343,0.4812870784447085
Thick Cloud,0.738182926068539,0.5850158008787851
Thin Cloud,0.0,0.0
Shadow,0.01168796615783055,0.00587833597488468
Overall Accuracy,0.6061094643233659,
Mean Entropy R,7.1630934135972675,
Mean Entropy G,6.844757491583824,
Mean Entropy B,6.5936904783376775,
