Class,F1 Score,IoU
Land,0.7142976712387252,0.5555700221270687
Thick Cloud,0.7862974888043209,0.647850261123461
Thin Cloud,0.0,0.0
Shadow,0.33334151023328096,0.20000588739684672
Overall Accuracy,0.6833271670651127,
Mean Entropy R,7.818587214212135,
Mean Entropy G,7.504602794583706,
Mean Entropy B,7.256091454111268,
