img_name,total_objects,total_area
img_0.tif,106,122005
img_1.tif,101,19747
img_10.tif,14,1521
img_100.tif,167,361652
img_1000.tif,39,15521
img_1001.tif,4,259733
img_1002.tif,1,6
img_1003.tif,84,36520
img_1004.tif,75,23706
img_1005.tif,10,328248
img_1006.tif,24,13037
img_1007.tif,61,8783
img_1008.tif,53,216119
img_1009.tif,35,208687
img_101.tif,68,12957
img_1010.tif,12,383745
img_1011.tif,10,1012
img_1012.tif,79,18430
img_1013.tif,4,22391
img_1014.tif,42,34540
img_1015.tif,115,232845
img_1016.tif,67,112116
img_1017.tif,116,345508
img_1018.tif,14,9304
img_1019.tif,53,116732
img_102.tif,182,287901
img_1020.tif,22,13470
img_1021.tif,116,138262
img_1022.tif,147,206295
img_1023.tif,86,198190
img_1024.tif,221,220816
img_1025.tif,88,230339
img_1026.tif,30,20255
img_1027.tif,63,67283
img_1028.tif,122,374881
img_1029.tif,68,162969
img_103.tif,323,79936
img_1030.tif,189,298925
img_1031.tif,0,0
img_1032.tif,27,4699
img_1033.tif,6,1605
img_1034.tif,131,97680
img_1035.tif,4,1545
img_1036.tif,351,515847
img_1037.tif,251,389123
img_1038.tif,22,3967
img_1039.tif,6,376
img_104.tif,70,21229
img_1040.tif,219,72308
img_1041.tif,558,516112
img_1042.tif,54,11916
img_1043.tif,172,74601
img_1044.tif,111,62084
img_1045.tif,40,19441
img_1046.tif,18,9536
img_1047.tif,174,183026
img_1048.tif,251,366917
img_1049.tif,186,392221
img_105.tif,21,343011
img_1050.tif,0,0
img_1051.tif,9,767
img_1052.tif,53,19745
img_1053.tif,296,225460
img_1054.tif,384,345786
img_1055.tif,105,77843
img_1056.tif,38,13609
img_1057.tif,240,190322
img_1058.tif,12,1752
img_1059.tif,402,298565
img_106.tif,4,258635
img_1060.tif,136,40616
img_1061.tif,113,47759
img_1062.tif,487,476286
img_1063.tif,121,19029
img_1064.tif,126,33739
img_1065.tif,94,379193
img_1066.tif,32,9922
img_1067.tif,45,24389
img_1068.tif,46,85607
img_1069.tif,154,379636
img_107.tif,32,19159
img_1070.tif,242,83516
img_1071.tif,132,88860
img_1072.tif,104,25438
img_1073.tif,0,0
img_1074.tif,367,420674
img_1075.tif,188,73668
img_1076.tif,253,415248
img_1077.tif,304,437356
img_1078.tif,3,79
img_1079.tif,162,95660
img_108.tif,104,20889
img_1080.tif,0,0
img_1081.tif,74,48531
img_1082.tif,275,361935
img_1083.tif,240,64564
img_1084.tif,68,39470
img_1085.tif,13,257497
img_1086.tif,0,0
img_1087.tif,10,258830
img_1088.tif,15,25379
img_1089.tif,89,40036
img_109.tif,53,240981
img_1090.tif,54,371737
img_1091.tif,71,8522
img_1092.tif,111,36169
img_1093.tif,1,258245
img_1094.tif,191,293714
img_1095.tif,177,334388
img_1096.tif,114,48009
img_1097.tif,112,46898
img_1098.tif,62,32293
img_1099.tif,0,0
img_11.tif,42,71721
img_110.tif,5,6689
img_1100.tif,95,403966
img_1101.tif,47,194457
img_1102.tif,33,281081
img_1103.tif,31,9323
img_1104.tif,11,5764
img_1105.tif,28,13569
img_1106.tif,10,1521
img_1107.tif,69,172485
img_1108.tif,1,256822
img_1109.tif,17,44100
img_111.tif,174,328911
img_1110.tif,0,0
img_1111.tif,31,272796
