img_name,total_objects,total_area
img_0.tif,101,137893
img_1.tif,39,29808
img_10.tif,8,4487
img_100.tif,115,350723
img_1000.tif,21,9543
img_1001.tif,7,269111
img_1002.tif,0,0
img_1003.tif,23,33034
img_1004.tif,10,8512
img_1005.tif,10,328248
img_1006.tif,4,29194
img_1007.tif,34,151110
img_1008.tif,37,68325
img_1009.tif,20,222837
img_101.tif,11,7119
img_1010.tif,12,383745
img_1011.tif,21,3406
img_1012.tif,12,20129
img_1013.tif,2,19203
img_1014.tif,16,28759
img_1015.tif,94,212704
img_1016.tif,69,131216
img_1017.tif,116,345508
img_1018.tif,6,4061
img_1019.tif,38,99808
img_102.tif,117,551870
img_1020.tif,21,6893
img_1021.tif,43,178087
img_1022.tif,130,168800
img_1023.tif,73,225906
img_1024.tif,221,220778
img_1025.tif,86,220706
img_1026.tif,18,21349
img_1027.tif,31,42884
img_1028.tif,122,374881
img_1029.tif,67,151367
img_103.tif,110,308127
img_1030.tif,186,300925
img_1031.tif,11,12426
img_1032.tif,34,37344
img_1033.tif,36,61557
img_1034.tif,116,330551
img_1035.tif,13,5294
img_1036.tif,347,542534
img_1037.tif,231,443106
img_1038.tif,143,319062
img_1039.tif,74,73638
img_104.tif,17,9865
img_1040.tif,216,282514
img_1041.tif,592,533993
img_1042.tif,54,103755
img_1043.tif,225,95831
img_1044.tif,112,54651
img_1045.tif,55,44068
img_1046.tif,45,45619
img_1047.tif,127,144358
img_1048.tif,249,355008
img_1049.tif,159,397022
img_105.tif,17,342331
img_1050.tif,2,1771
img_1051.tif,29,31972
img_1052.tif,62,109947
img_1053.tif,248,434523
img_1054.tif,374,339952
img_1055.tif,81,49199
img_1056.tif,51,83828
img_1057.tif,236,434108
img_1058.tif,17,13489
img_1059.tif,399,296461
img_106.tif,14,329082
img_1060.tif,38,6926
img_1061.tif,324,179405
img_1062.tif,686,271791
img_1063.tif,364,123893
img_1064.tif,172,216030
img_1065.tif,95,386211
img_1066.tif,11,7602
img_1067.tif,13,22978
img_1068.tif,42,78637
img_1069.tif,145,379058
img_107.tif,26,29253
img_1070.tif,183,70599
img_1071.tif,86,34864
img_1072.tif,59,37347
img_1073.tif,69,31105
img_1074.tif,324,234698
img_1075.tif,140,93290
img_1076.tif,236,415898
img_1077.tif,301,440091
img_1078.tif,4,1866
img_1079.tif,121,153320
img_108.tif,10,3233
img_1080.tif,5,626
img_1081.tif,80,20680
img_1082.tif,275,361935
img_1083.tif,233,68938
img_1084.tif,49,38681
img_1085.tif,12,267515
img_1086.tif,39,60756
img_1087.tif,10,258830
img_1088.tif,7,12002
img_1089.tif,25,11972
img_109.tif,26,237637
img_1090.tif,54,371737
img_1091.tif,23,4808
img_1092.tif,44,220663
img_1093.tif,29,382537
img_1094.tif,89,519695
img_1095.tif,177,334388
img_1096.tif,75,41706
img_1097.tif,72,40734
img_1098.tif,41,35345
img_1099.tif,35,16105
img_11.tif,134,76235
img_110.tif,6,1263
img_1100.tif,90,392885
img_1101.tif,32,170850
img_1102.tif,31,267133
img_1103.tif,19,8555
img_1104.tif,0,0
img_1105.tif,11,6892
img_1106.tif,12,33979
img_1107.tif,7,202147
img_1108.tif,1,256822
img_1109.tif,0,0
img_111.tif,132,440073
img_1110.tif,1,5058
img_1111.tif,31,272796
img_1112.tif,53,27646
img_1113.tif,2,640
img_1114.tif,12,4613
img_1115.tif,39,282547
img_1116.tif,14,6577
img_1117.tif,4,360
img_1118.tif,12,24214
img_1119.tif,24,253204
img_112.tif,100,340507
img_1120.tif,33,283698
img_1121.tif,41,301689
img_1122.tif,24,227790
img_1123.tif,2,455
img_1124.tif,5,437
img_1125.tif,123,393230
img_1126.tif,92,336308
img_1127.tif,11,60284
img_1128.tif,54,58761
img_1129.tif,56,33289
img_113.tif,46,157562
img_1130.tif,40,39041
img_1131.tif,99,397949
img_1132.tif,48,105082
img_1133.tif,123,239817
img_1134.tif,34,32226
img_1135.tif,24,10847
img_1136.tif,15,3772
img_1137.tif,0,0
img_1138.tif,10,3590
img_1139.tif,18,263210
img_114.tif,53,177203
img_1140.tif,0,0
img_1141.tif,17,246814
img_1142.tif,40,159766
img_1143.tif,9,2514
img_1144.tif,19,313648
img_1145.tif,81,34944
img_1146.tif,46,181777
img_1147.tif,31,28013
img_1148.tif,102,307756
img_1149.tif,89,27555
img_115.tif,12,285728
img_1150.tif,151,334627
img_1151.tif,3,2605
img_1152.tif,8,2704
img_1153.tif,44,30870
img_1154.tif,147,337998
img_1155.tif,161,307542
img_1156.tif,159,331121
img_1157.tif,39,10183
img_1158.tif,6,11277
img_1159.tif,70,253093
img_116.tif,0,0
img_1160.tif,46,274616
img_1161.tif,43,263878
img_1162.tif,29,15281
img_1163.tif,11,7915
img_1164.tif,15,12699
img_1165.tif,21,292550
img_1166.tif,7,24115
img_1167.tif,35,69581
img_1168.tif,26,12530
img_1169.tif,38,367640
img_117.tif,4,192019
img_1170.tif,44,509358
img_1171.tif,90,324348
img_1172.tif,28,77605
img_1173.tif,24,100116
img_1174.tif,154,113157
img_1175.tif,48,193768
img_1176.tif,17,8386
img_1177.tif,106,427567
img_1178.tif,24,263737
img_1179.tif,28,64387
img_118.tif,0,0
img_1180.tif,271,426368
img_1181.tif,161,286978
img_1182.tif,0,0
img_1183.tif,232,376094
img_1184.tif,57,37490
img_1185.tif,401,411883
img_1186.tif,348,412776
img_1187.tif,225,97209
img_1188.tif,19,5986
img_1189.tif,42,151469
img_119.tif,8,1730
img_1190.tif,10,4149
img_1191.tif,9,261446
img_1192.tif,14,3667
img_1193.tif,2,3081
img_1194.tif,4,256717
img_1195.tif,19,517933
img_1196.tif,4,1352
img_1197.tif,6,2534
img_1198.tif,57,105852
img_1199.tif,40,285449
img_12.tif,121,540209
img_120.tif,11,340254
img_1200.tif,19,51282
img_1201.tif,50,363199
img_1202.tif,2,5567
img_1203.tif,28,320660
img_1204.tif,46,43267
img_1205.tif,83,359846
img_1206.tif,70,541920
img_1207.tif,51,151995
img_1208.tif,31,35467
img_1209.tif,1,77
img_121.tif,5,341863
img_1210.tif,100,348167
img_1211.tif,63,74410
img_1212.tif,126,438228
img_1213.tif,77,87174
img_1214.tif,2,44
img_1215.tif,11,335880
img_1216.tif,1,1004
img_1217.tif,5,582
img_1218.tif,20,6456
img_1219.tif,6,16963
img_122.tif,6,6105
img_1220.tif,99,378566
img_1221.tif,58,45022
img_1222.tif,2,1671
img_1223.tif,62,138902
img_1224.tif,43,224599
img_1225.tif,22,32397
img_1226.tif,34,21270
img_1227.tif,39,293402
img_1228.tif,16,274414
img_1229.tif,42,17656
img_123.tif,1,365
img_1230.tif,85,334743
img_1231.tif,6,7713
img_1232.tif,15,6360
img_1233.tif,6,2344
img_1234.tif,79,276693
img_1235.tif,80,354846
img_1236.tif,47,324241
img_1237.tif,18,157623
img_1238.tif,39,160999
img_1239.tif,3,832
img_124.tif,69,29527
img_1240.tif,204,390057
img_1241.tif,43,138509
img_1242.tif,94,297306
img_1243.tif,10,103476
img_1244.tif,31,70882
img_1245.tif,9,282958
img_1246.tif,10,29262
img_1247.tif,0,0
img_1248.tif,50,13409
img_1249.tif,15,173012
img_125.tif,7,258170
img_1250.tif,82,236297
img_1251.tif,64,386498
img_1252.tif,2,4506
img_1253.tif,20,81250
img_1254.tif,49,500077
img_1255.tif,141,157638
img_1256.tif,5,970
img_1257.tif,127,178783
img_1258.tif,15,86909
img_1259.tif,65,117198
img_126.tif,14,105348
img_1260.tif,120,242589
img_1261.tif,65,303468
img_1262.tif,110,43829
img_1263.tif,309,382350
img_1264.tif,71,107907
img_1265.tif,26,317229
img_1266.tif,61,153416
img_1267.tif,28,46558
img_1268.tif,25,10186
img_1269.tif,94,284975
img_127.tif,10,316788
img_1270.tif,86,285290
img_1271.tif,5,12507
img_1272.tif,223,588331
img_1273.tif,203,449283
img_1274.tif,15,12565
img_1275.tif,100,72415
img_1276.tif,384,529526
img_1277.tif,102,55097
img_1278.tif,10,8970
img_1279.tif,209,412837
img_128.tif,39,110141
img_1280.tif,247,448576
img_1281.tif,46,31335
img_1282.tif,3,9866
img_1283.tif,230,369739
img_1284.tif,323,452888
img_1285.tif,12,266326
img_1286.tif,2,6093
img_1287.tif,6,3777
img_1288.tif,0,0
img_1289.tif,4,3975
img_129.tif,18,32309
img_1290.tif,13,518244
img_1291.tif,7,5285
img_1292.tif,5,5098
img_1293.tif,11,27100
img_1294.tif,8,99931
img_1295.tif,9,262569
