img_name,total_objects,total_area
img_0.tif,70,71577
img_1.tif,14,27454
img_10.tif,14,870
img_100.tif,143,160281
img_1000.tif,8,9540
img_1001.tif,8,264342
img_1002.tif,20,3760
img_1003.tif,21,52223
img_1004.tif,20,249424
img_1005.tif,10,328248
img_1006.tif,34,53505
img_1007.tif,114,70211
img_1008.tif,22,242781
img_1009.tif,21,210202
img_101.tif,92,44512
img_1010.tif,12,383745
img_1011.tif,1,41
img_1012.tif,5,2215
img_1013.tif,2,19258
img_1014.tif,25,44143
img_1015.tif,95,225733
img_1016.tif,61,124449
img_1017.tif,116,345508
img_1018.tif,4,2604
img_1019.tif,38,123403
img_102.tif,303,327019
img_1020.tif,17,21673
img_1021.tif,48,145533
img_1022.tif,121,235431
img_1023.tif,86,156633
img_1024.tif,221,220778
img_1025.tif,86,279996
img_1026.tif,14,18588
img_1027.tif,60,82720
img_1028.tif,122,374881
img_1029.tif,69,171878
img_103.tif,152,240319
img_1030.tif,186,300925
img_1031.tif,0,0
img_1032.tif,88,49481
img_1033.tif,30,13597
img_1034.tif,124,216495
img_1035.tif,5,2174
img_1036.tif,351,542186
img_1037.tif,234,433093
img_1038.tif,96,38639
img_1039.tif,67,11145
img_104.tif,123,22138
img_1040.tif,235,256758
img_1041.tif,576,522419
img_1042.tif,102,97150
img_1043.tif,250,105225
img_1044.tif,64,119075
img_1045.tif,66,46709
img_1046.tif,83,53880
img_1047.tif,138,342939
img_1048.tif,249,355008
img_1049.tif,153,406164
img_105.tif,20,343022
img_1050.tif,0,0
img_1051.tif,81,23434
img_1052.tif,54,57885
img_1053.tif,276,465364
img_1054.tif,375,339404
img_1055.tif,76,214994
img_1056.tif,112,87637
img_1057.tif,232,428731
img_1058.tif,27,16626
img_1059.tif,399,296461
img_106.tif,24,282953
img_1060.tif,72,9690
img_1061.tif,161,158497
img_1062.tif,669,490278
img_1063.tif,275,89180
img_1064.tif,181,69356
img_1065.tif,97,383483
img_1066.tif,7,1119
img_1067.tif,21,46705
img_1068.tif,42,78910
img_1069.tif,145,378849
img_107.tif,28,28624
img_1070.tif,220,89265
img_1071.tif,99,50899
img_1072.tif,39,32649
img_1073.tif,6,102
img_1074.tif,339,241179
img_1075.tif,229,74445
img_1076.tif,247,419355
img_1077.tif,301,440091
img_1078.tif,20,2405
img_1079.tif,134,97938
img_108.tif,20,2523
img_1080.tif,0,0
img_1081.tif,72,27012
img_1082.tif,275,361935
img_1083.tif,252,76058
img_1084.tif,67,44002
img_1085.tif,12,267515
img_1086.tif,0,0
img_1087.tif,10,258830
img_1088.tif,18,56461
img_1089.tif,28,12099
img_109.tif,16,257132
img_1090.tif,54,371737
img_1091.tif,34,9324
img_1092.tif,71,231848
img_1093.tif,1,258245
img_1094.tif,97,383430
img_1095.tif,177,334388
img_1096.tif,77,155136
img_1097.tif,74,154448
img_1098.tif,43,37424
img_1099.tif,19,1980
img_11.tif,41,84817
img_110.tif,4,206
img_1100.tif,90,392885
img_1101.tif,23,219763
img_1102.tif,33,273704
img_1103.tif,19,8389
img_1104.tif,7,175
img_1105.tif,10,6074
img_1106.tif,12,935
img_1107.tif,1,212040
img_1108.tif,1,256822
img_1109.tif,2,2
img_111.tif,260,122149
img_1110.tif,0,0
img_1111.tif,31,272796
img_1112.tif,53,280453
img_1113.tif,0,0
img_1114.tif,6,2553
img_1115.tif,39,282547
img_1116.tif,8,2430
img_1117.tif,7,15196
img_1118.tif,26,31289
img_1119.tif,22,254716
img_112.tif,119,317245
img_1120.tif,33,285760
img_1121.tif,41,301689
img_1122.tif,27,19238
img_1123.tif,1,1
img_1124.tif,1,5
img_1125.tif,123,393230
img_1126.tif,99,332955
img_1127.tif,18,57732
img_1128.tif,33,43587
img_1129.tif,71,46832
img_113.tif,12,5626
img_1130.tif,16,51990
img_1131.tif,110,140567
img_1132.tif,89,83192
img_1133.tif,123,239817
img_1134.tif,39,29055
img_1135.tif,24,10882
img_1136.tif,12,5150
img_1137.tif,0,0
img_1138.tif,12,3850
img_1139.tif,18,263210
img_114.tif,16,4543
img_1140.tif,0,0
img_1141.tif,10,260541
img_1142.tif,27,176995
img_1143.tif,6,4594
img_1144.tif,19,313648
img_1145.tif,80,33293
img_1146.tif,39,21112
img_1147.tif,18,18268
img_1148.tif,95,305882
img_1149.tif,86,25153
img_115.tif,12,285728
img_1150.tif,167,363760
img_1151.tif,3,418
img_1152.tif,7,15024
img_1153.tif,33,22893
img_1154.tif,241,292050
img_1155.tif,157,308033
img_1156.tif,159,331121
img_1157.tif,23,50877
img_1158.tif,26,6353
img_1159.tif,131,45352
img_116.tif,53,8722
img_1160.tif,328,151788
img_1161.tif,125,31274
img_1162.tif,54,9807
img_1163.tif,150,53786
img_1164.tif,3,604
img_1165.tif,55,295396
img_1166.tif,57,19442
img_1167.tif,40,69664
img_1168.tif,24,6378
img_1169.tif,66,164348
img_117.tif,55,27517
img_1170.tif,69,88153
img_1171.tif,97,324425
img_1172.tif,25,30629
img_1173.tif,82,100557
img_1174.tif,256,127916
img_1175.tif,62,85250
img_1176.tif,77,49584
img_1177.tif,106,427547
img_1178.tif,28,276587
img_1179.tif,30,15777
img_118.tif,0,0
img_1180.tif,271,426301
img_1181.tif,232,107938
img_1182.tif,0,0
img_1183.tif,229,366862
img_1184.tif,52,51186
img_1185.tif,402,410542
img_1186.tif,347,407405
img_1187.tif,222,92562
img_1188.tif,82,31018
img_1189.tif,109,58453
img_119.tif,8,1731
img_1190.tif,0,0
img_1191.tif,9,261271
img_1192.tif,4,2289
img_1193.tif,0,0
img_1194.tif,4,256717
img_1195.tif,19,517933
img_1196.tif,1,51
img_1197.tif,7,3483
img_1198.tif,6,8217
img_1199.tif,36,269791
img_12.tif,113,373602
img_120.tif,11,340254
img_1200.tif,18,229259
img_1201.tif,50,363199
img_1202.tif,11,7198
img_1203.tif,24,305888
img_1204.tif,55,84345
img_1205.tif,83,359846
img_1206.tif,116,233434
img_1207.tif,54,162227
img_1208.tif,99,50486
img_1209.tif,3,637
img_121.tif,5,341689
