Class,F1 Score,IoU
Land,0.7616087958212688,0.6149985507417651
Thick Cloud,0.824619973122354,0.7015773233044693
Thin Cloud,0.0,0.0
Shadow,0.19727372183183314,0.10943076839834612
Overall Accuracy,0.711464854029866,
Mean Entropy R,7.644619487450789,
Mean Entropy G,7.3404607476212345,
Mean Entropy B,7.089412544227466,
