Class,F1 Score,IoU
Land,0.7622423539744378,0.6158252032794923
Thick Cloud,0.7436906331769071,0.5919645692505849
Thin Cloud,0.0,0.0
Shadow,0.330384953638649,0.1978809153395378
Overall Accuracy,0.683793204171317,
Mean Entropy R,8.330857654407998,
Mean Entropy G,8.054334353066084,
Mean Entropy B,7.828973428673422,
